瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),嚼档(%)
156,堡林,2022-08-07 01:00,27.9,1.1,99
156,堡林,2022-08-07 02:00,27.6,.9,99
156,堡林,2022-08-07 03:00,27.5,2.1,99
156,堡林,2022-08-07 04:00,27.7,2.1,99
156,堡林,2022-08-07 05:00,27.6,1.8,99
156,堡林,2022-08-07 06:00,27.8,1.5,99
156,堡林,2022-08-07 07:00,27.9,.9,99
156,堡林,2022-08-07 08:00,28.8,1.6,99
156,堡林,2022-08-07 09:00,29.8,2.3,93
156,堡林,2022-08-07 10:00,31.1,1.7,86
156,堡林,2022-08-07 11:00,32.5,1.9,81
156,堡林,2022-08-07 12:00,33.1,2.4,75
156,堡林,2022-08-07 13:00,33.6,2.4,73
156,堡林,2022-08-07 14:00,33,3.1,77
156,堡林,2022-08-07 15:00,33.2,5,67
156,堡林,2022-08-07 16:00,32.6,3.9,73
156,堡林,2022-08-07 17:00,32.1,3.8,75
156,堡林,2022-08-07 18:00,30.9,3.1,84
156,堡林,2022-08-07 19:00,30.1,3,89
156,堡林,2022-08-07 20:00,29.1,3.1,96
156,堡林,2022-08-07 21:00,28.6,1.3,98
156,堡林,2022-08-07 22:00,28.7,2.3,94
156,堡林,2022-08-07 23:00,28.4,2.9,96
156,堡林,2022-08-08 00:00,28.4,2.4,97
156,堡林,2022-08-08 01:00,28.2,3.3,97
156,堡林,2022-08-08 02:00,28,3,98
156,堡林,2022-08-08 03:00,27.9,2.9,98
156,堡林,2022-08-08 04:00,27.8,2.5,97
156,堡林,2022-08-08 05:00,27.8,1.9,97
156,堡林,2022-08-08 06:00,27.4,3,98
156,堡林,2022-08-08 07:00,27.6,3.7,98
156,堡林,2022-08-08 08:00,28.4,3,97
156,堡林,2022-08-08 09:00,29,5.6,94
156,堡林,2022-08-08 10:00,30.1,5.3,85
156,堡林,2022-08-08 11:00,30.8,4.8,75
156,堡林,2022-08-08 12:00,30.6,4.9,80
156,堡林,2022-08-08 13:00,30.8,4.9,81
156,堡林,2022-08-08 14:00,31.5,3.2,77
156,堡林,2022-08-08 15:00,30.8,4.7,80
156,堡林,2022-08-08 16:00,30.6,3.8,82
156,堡林,2022-08-08 17:00,29.9,3.2,85
156,堡林,2022-08-08 18:00,29.5,3,85
156,堡林,2022-08-08 19:00,28.9,4,90
156,堡林,2022-08-08 20:00,28.4,3,93
156,堡林,2022-08-08 21:00,28,2.7,95
156,堡林,2022-08-08 22:00,27.8,3.2,96
156,堡林,2022-08-08 23:00,27.7,2.6,94
156,堡林,2022-08-09 00:00,27.4,2.8,97
156,堡林,2022-08-09 01:00,27.4,2,97
156,堡林,2022-08-09 02:00,27.2,3.2,98
156,堡林,2022-08-09 03:00,27.3,2.3,98
156,堡林,2022-08-09 04:00,27.1,2.5,99
156,堡林,2022-08-09 05:00,27,3.3,99
156,堡林,2022-08-09 06:00,26.8,2.4,99
156,堡林,2022-08-09 07:00,26.9,2.8,99
156,堡林,2022-08-09 08:00,27.6,3.2,98
156,堡林,2022-08-09 09:00,28.5,3.1,96
